Company,Ticker,Segment,Segment description,Key products / services (keywords),Primary source,Link
Apple Inc.,AAPL,Mac,The Mac segment includes Apple's line of personal computers and related hardware products. The text references Mac as a distinct revenue item and discusses performance obligations related to hardware and bundled software delivered at the time of sale. Mac is part of the Company's consolidated financial reporting and is a key product contributing to net sales.,Mac,segment Mac text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,Services,"The Services segment encompasses Apple's offerings related to licensed intellectual property, content, distribution rights, and other service-related commitments. The Company has unconditional purchase obligations for supplier arrangements and content licensing, and manages legal contingencies and supply concentrations affecting this segment. Services is a significant revenue category alongside hardware products.",Services (1),segment Services text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,"Wearables, Home and Accessories","This segment includes Apple's hardware products related to wearables, home devices, and accessories. The text snippet provides net sales figures for this segment, indicating its contribution to total net sales. It is reported as a separate revenue item alongside iPhone, Mac, iPad, and Services.","Wearables, Home and Accessories","segment Wearables, Home and Accessories text snippet and revenue items",https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,iPad,"The iPad segment covers Apple's tablet products and related hardware and bundled software. The Company identifies performance obligations in arrangements involving iPad sales, including hardware and product-related bundled services such as iCloud, Siri, and Maps. iPad is a distinct revenue item contributing to the Company's net sales.",iPad,segment iPad text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,AAPL,iPhone,"The iPhone segment includes Apple's smartphone products and related hardware and services. The text notes that iPhone revenue represents a significant portion of net sales, especially in Greater China. Deferred revenue related to iPhone is also discussed, highlighting its importance in the Company's revenue recognition.",iPhone,segment iPhone text snippet and revenue items,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
MICROSOFT CORP,MSFT,Intelligent Cloud,"The Intelligent Cloud segment includes public, private, and hybrid server products and cloud services that support modern business and developers. It primarily consists of server products and cloud services such as Azure, GitHub, and Nuance Healthcare cloud services, as well as enterprise and partner services including Enterprise Support Services and Microsoft Partner Network. This segment focuses on cloud infrastructure, AI offerings, server software, and professional services to enhance productivity and efficiency for IT professionals and developers.",Azure; GitHub; Nuance Healthcare; SQL Server; Windows Server; Visual Studio; System Center; Client Access Licenses (CALs); Enterprise Support Services; Industry Solutions; Nuance professional services; Microsoft Partner Network; Learning Experience; Server products and cloud services; Enterprise and partner services,10-K text snippet Intelligent Cloud,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,MSFT,More Personal Computing,"The More Personal Computing segment comprises products and services that focus on delivering personalized technology experiences. It includes Windows and Devices such as Windows OEM licensing and Surface devices, Gaming with Xbox hardware and content including Xbox Game Pass and Xbox Cloud Gaming, and Search and news advertising through Bing, Microsoft Edge, and Microsoft News. This segment aims to enhance user engagement across devices, gaming platforms, and digital advertising.",Windows OEM licensing; Surface; PC accessories; Xbox hardware; Xbox content and services; Xbox Game Pass; Xbox Cloud Gaming; Bing; Copilot; Microsoft News; Microsoft Edge; Search and news advertising; Windows and Devices; Gaming,10-K text snippet More Personal Computing,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,MSFT,Productivity and Business Processes,"The Productivity and Business Processes segment includes a portfolio of productivity, communication, and information services across various devices and platforms. It features Microsoft 365 Commercial and Consumer products and cloud services, LinkedIn with its Talent, Marketing, Premium, and Sales Solutions, and Dynamics products and cloud services including Dynamics 365 ERP and CRM applications. This segment focuses on AI-powered business productivity tools, professional networking, and intelligent cloud-based business solutions.",Microsoft 365 Commercial; Microsoft 365 Copilot; Enterprise Mobility + Security; Power BI; Exchange; SharePoint; Microsoft Teams; Microsoft 365 Security and Compliance; Microsoft 365 Consumer; LinkedIn; Talent Solutions; Marketing Solutions; Premium Subscriptions; Sales Solutions; Dynamics 365; Power Apps; Power Automate; Microsoft 365 Commercial products and cloud services; Microsoft 365 Consumer products and cloud services; LinkedIn; Dynamics products and cloud services,10-K text snippet Productivity and Business Processes,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Alphabet Inc.,GOOGL,Google Cloud,"Google Cloud segment includes cloud computing services and infrastructure offerings. It is reported separately from Google Services and Other Bets, reflecting its focus on cloud-based products and services. The segment's operating income increased from $1,716 million in 2023 to $6,112 million in 2024.",Google Cloud,"10-K Part I, Item 1 Business and Note 15",https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,GOOGL,Google Services,"Google Services segment encompasses various consumer and advertiser-facing products and platforms. This includes Google Search and other related services, YouTube advertising, Google Network, and Google subscriptions, platforms, and devices. The segment showed significant operating income growth from $95,858 million in 2023 to $121,263 million in 2024.","Google Search & other; YouTube ads; Google Network; Google subscriptions, platforms, and devices","10-K Part I, Item 1 Business and Note 15",https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
