Company;Revenue Group (Reportable Segment);Revenue Line;Line Item description (company language) — product/service only;Where the text was found in the 10-K
AAPL;Product/Service disclosure;iPhone;Apple’s line of smartphones based on iOS (the iPhone line includes iPhone 17 Pro, iPhone Air, iPhone 17, iPhone 16 and iPhone 16e).;Item 1 — Business — Products — iPhone
AAPL;Product/Service disclosure;Mac;Apple’s line of personal computers based on macOS, including MacBook Air and MacBook Pro laptops, and iMac, Mac mini, Mac Studio, Mac Pro desktops.;Item 1 — Business — Products — Mac
AAPL;Product/Service disclosure;iPad;Apple’s line of multipurpose tablets based on iPadOS, including iPad Pro, iPad Air, iPad, iPad mini.;Item 1 — Business — Products — iPad
AAPL;Product/Service disclosure;Wearables, Home and Accessories;"Wearables: smartwatches, wireless headphones and spatial computers (Apple Watch models; AirPods / Beats; Apple Vision Pro). Home: Apple TV 4K and HomePod/HomePod mini. Accessories: Apple-branded and third-party accessories.";Item 1 — Business — Products — Wearables, Home and Accessories
AAPL;Product/Service disclosure;Services;"Services include: Advertising (third-party licensing arrangements and Apple’s own ad platforms); AppleCare (fee-based support, priority access to technical support, repair/replacement services, additional coverage in many cases); Cloud services (store and keep customer content up-to-date and available across Apple devices and Windows PCs); Digital content platforms incl. the App Store (discover/download apps and digital content such as books, music, video, games, podcasts); Subscription services (Apple Arcade, Fitness+, Music, News+, Apple TV offering original content and live sports); and Payment services (Apple Card and Apple Pay).";Item 1 — Business — Services (Advertising, AppleCare, Cloud Services, Digital Content, Subscription Services, Payment Services)
AMZN;Product/Service disclosure;Online stores;Sales through Amazon’s online stores: a wide selection of consumable and durable goods (including media products in physical and digital formats such as books, videos, games, music, software), including digital products sold on a transactional basis.;Item 8 — Financial Statements — Disaggregated net sales footnote (1)
AMZN;Product/Service disclosure;Physical stores;Sales in Amazon’s physical stores where customers physically select items in a store.;Item 8 — Financial Statements — Disaggregated net sales footnote (2)
AMZN;Product/Service disclosure;Third-party seller services;"Services provided to third-party sellers including commissions and related fulfillment and shipping fees, plus other third-party seller services; Amazon also describes programs that enable sellers to grow their businesses, sell products in Amazon stores, and fulfill orders using Amazon services.";"Item 8 — Disaggregated net sales footnote (3); Item 1 — Business — Sellers"
AMZN;Product/Service disclosure;Advertising services;Advertising services sold to sellers, vendors, publishers, authors, and others, including programs such as sponsored ads, display, and video advertising.;Item 8 — Disaggregated net sales footnote (4)
AMZN;Product/Service disclosure;Subscription services;Subscription fees including Amazon Prime memberships (annual/monthly) and access to content/services including digital video, audiobooks, digital music, e-books, and other non-AWS subscriptions.;Item 8 — Disaggregated net sales footnote (5)
AMZN;Product/Service disclosure;AWS;Amazon Web Services provides a broad set of on-demand technology services for developers and enterprises (including start-ups, government agencies, academic institutions), including compute, storage, database, analytics, machine learning, and other services.;"Item 1 — Business — Developers and Enterprises; Item 8 — Segment description of AWS"
AMZN;Product/Service disclosure;Other;Other offerings including healthcare services, certain licensing and distribution of video content, shipping services, and co-branded credit card agreements.;Item 8 — Disaggregated net sales footnote (6)
