Company Name,Ticker,Fiscal Year,Revenue Group (Reportable Segment),Revenue Line,Line Item description (company language),Revenue ($m)
Apple Inc.,AAPL,2025,Product/Service disclosure,iPhone,"iPhone revenue consists of sales of Apple's iPhone line of smartphones, including various models such as the iPhone 16e, iPhone 17, iPhone Air, iPhone 17 Pro, and iPhone 17 Pro Max.",209586.0
Apple Inc.,AAPL,2025,Product/Service disclosure,Services,"Services also include revenue from advertising, the App Store, and cloud services.",109158.0
Apple Inc.,AAPL,2025,Product/Service disclosure,"Wearables, Home and Accessories","Wearables, Home and Accessories consists of Apple's line of wireless headphones (including AirPods, AirPods Pro, AirPods Max, and Beats products), spatial computing devices (Apple Vision Pro), home entertainment and smart speaker products (Apple TV 4K, HomePod, HomePod mini), and Apple-branded and third-party accessories.",35686.0
Apple Inc.,AAPL,2025,Product/Service disclosure,Mac,"Mac is the Company’s line of personal computers based on its macOS operating system, which includes both laptops and desktops.",33708.0
Apple Inc.,AAPL,2025,Product/Service disclosure,iPad,"iPad net sales include revenue from the sale of iPad devices, including models such as iPad Air, iPad mini, iPad, and iPad Pro.",28023.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Online stores,"Online stores revenue consists of sales of products to consumers through Amazon's online and mobile platforms, offering hundreds of millions of unique products sold by Amazon and third parties across dozens of product categories.",247029.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Third-party seller services,"Third-party seller services consist of programs that enable sellers to grow their businesses, sell their products in Amazon's stores, and fulfill orders using Amazon's services. Amazon is not the seller of record in these transactions and earns fees for these seller programs.",156146.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,AWS,"AWS consists of a broad set of on-demand technology services provided to developers and enterprises of all sizes, including start-ups, government agencies, and academic institutions. These services include compute, storage, database, analytics, machine learning, and other services.",107556.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Advertising services,"Advertising services consists of providing advertising solutions to sellers, vendors, publishers, authors, and others through programs such as sponsored ads, display, and video advertising.",56214.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Subscription services,,44374.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Physical stores,"Physical stores revenue consists of sales to consumers through the company's physical retail locations, offering a wide selection of products across dozens of categories designed for convenience and selection.",21215.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Other,,5425.0
Alphabet Inc.,GOOGL,2024,Google Services,Google Search & other,"Google Search & other includes revenues generated on Google search properties, including revenues from traffic generated by search distribution partners who use Google.",198084.0
Alphabet Inc.,GOOGL,2024,Google Cloud,Google Cloud,"Google Cloud includes infrastructure and platform services, applications, and other services for enterprise customers. Google Cloud revenues are comprised of Google Cloud Platform, which generates consumption-based fees and subscriptions for infrastructure, platform, and other services.",43229.0
Alphabet Inc.,GOOGL,2024,Google Services,"Google subscriptions, platforms, and devices","Google subscriptions, platforms, and devices revenues consist of consumer subscriptions (primarily from YouTube services such as YouTube TV, YouTube Music and Premium, NFL Sunday Ticket, and Google One), platform revenues (primarily from Google Play sales of apps and in-app purchases), device revenues (primarily from sales of the Pixel family of devices), and other products and services.",40340.0
Alphabet Inc.,GOOGL,2024,Google Services,YouTube ads,"YouTube ads revenue consists of advertising revenues generated from ads shown on YouTube, including both brand advertising products and direct response advertising products.",36147.0
Alphabet Inc.,GOOGL,2024,Google Services,Google Network,,30359.0
Alphabet Inc.,GOOGL,2024,Other Bets,Other Bets,"Other Bets is a combination of multiple operating segments that are not individually material, and generates revenues primarily from the sale of healthcare-related services and internet services.",1648.0
"Meta Platforms, Inc.",META,2024,Family of Apps (FoA),Advertising,"Advertising revenue in the Family of Apps (FoA) segment consists of revenue generated from selling advertising placements on Facebook, Instagram, Messenger, and third-party applications and websites, enabling marketers to reach people for various marketing objectives.",160633.0
"Meta Platforms, Inc.",META,2024,Reality Labs,Reality Labs,"Reality Labs revenue is generated from the delivery of consumer hardware products, such as Meta Quest and Ray-Ban Meta AI glasses, and related software and content, including virtual, augmented, and mixed reality related consumer hardware, software, and content.",2146.0
"Meta Platforms, Inc.",META,2024,Family of Apps (FoA),Other revenue,"FoA Other revenue consists of revenue from WhatsApp Business Platform, Meta Verified subscriptions, net fees received from developers using the company's Payments infrastructure, and revenue from various other sources.",1722.0
