Company Name,Ticker,Fiscal Year,Revenue Group (Reportable Segment),Revenue Line,Line Item description (company language),Revenue ($m)
Apple Inc.,AAPL,2025,Product/Service disclosure,iPhone,"iPhone is the Company’s line of smartphones based on its iOS operating system. The iPhone line includes iPhone 17 Pro, iPhone Air™, iPhone 17, iPhone 16 and iPhone 16e.",209586.0
Apple Inc.,AAPL,2025,Product/Service disclosure,Services,,109158.0
Apple Inc.,AAPL,2025,Product/Service disclosure,"Wearables, Home and Accessories","Wearables includes smartwatches, wireless headphones and spatial computers. Home includes Apple TV 4K, the Company’s media streaming and gaming device, and HomePod and HomePod mini, high-fidelity wireless smart speakers; Accessories includes Apple-branded and third-party accessories.",35686.0
Apple Inc.,AAPL,2025,Product/Service disclosure,Mac,"Mac is the Company’s line of personal computers based on its macOS operating system. The Mac line includes laptops MacBook Air and MacBook Pro, as well as desktops iMac, Mac mini, Mac Studio and Mac Pro.",33708.0
Apple Inc.,AAPL,2025,Product/Service disclosure,iPad,"iPad is the Company’s line of multipurpose tablets based on its iPadOS operating system. The iPad line includes iPad Pro, iPad Air, iPad and iPad mini.",28023.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Online stores,"We leverage our retail infrastructure to offer a wide selection of consumable and durable goods that includes media products available in both a physical and digital format, such as books, videos, games, music, and software. These product sales include digital products sold on a transactional basis. Digital media content subscriptions that provide unlimited viewing or usage rights are included in “Subscription services.”",247029.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Third-party seller services,"Includes commissions and any related fulfillment and shipping fees, and other third-party seller services.",156146.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,AWS,"AWS offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services.",107556.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Advertising services,"Includes sales of advertising services to sellers, vendors, publishers, authors, and others, through programs such as sponsored ads, display, and video advertising.",56214.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Subscription services,"Includes annual and monthly fees associated with Amazon Prime memberships, as well as digital video, audiobook, digital music, e-book, and other non-AWS subscription services.",44374.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Physical stores,Includes product sales where our customers physically select items in a store.,21215.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Other,"Includes sales related to various other offerings, such as healthcare services, certain licensing and distribution of video content, and shipping services, and our co-branded credit card agreements.",5425.0
MICROSOFT CORP,MSFT,2025,Intelligent Cloud,Server products and cloud services,"Server products and cloud services include Azure and other cloud services, comprising cloud and AI consumption-based services, GitHub cloud services, Nuance Healthcare cloud services, virtual desktop offerings, and other cloud services; and Server products, comprising SQL Server, Windows Server, Visual Studio, System Center, related Client Access Licenses (""CALs""), and other on-premises offerings.",98435.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Microsoft 365 Commercial products and cloud services,"Microsoft 365 Commercial products and cloud services include Microsoft 365 Commercial cloud, comprising Microsoft 365 Commercial, Enterprise Mobility + Security, the cloud portion of Windows Commercial, the per-user portion of Power BI, Exchange, SharePoint, Microsoft Teams, Microsoft 365 Security and Compliance, and Microsoft 365 Copilot; and Microsoft 365 Commercial products, comprising Windows Commercial on-premises and Office licensed on-premises.",87767.0
MICROSOFT CORP,MSFT,2025,More Personal Computing,Gaming,"Gaming includes Xbox hardware and Xbox content and services, comprising first- and third-party content (including games and in-game content), Xbox Game Pass and other subscriptions, Xbox Cloud Gaming, advertising, and other cloud services.",23455.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,LinkedIn,"LinkedIn includes Talent Solutions, Marketing Solutions, Premium Subscriptions, and Sales Solutions.",17812.0
MICROSOFT CORP,MSFT,2025,More Personal Computing,Windows and Devices,"Windows and Devices includes Windows OEM licensing (Windows Pro and non-Pro licenses sold through the OEM channel) and Devices, comprising Surface and PC accessories.",17314.0
MICROSOFT CORP,MSFT,2025,More Personal Computing,Search and news advertising,"Search and news advertising comprises Bing and Copilot, Microsoft News, Microsoft Edge, and third-party affiliates.",13878.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Dynamics products and cloud services,"Dynamics products and cloud services include Dynamics 365, comprising a set of intelligent, cloud-based applications across ERP, CRM, Power Apps, and Power Automate; and on-premises ERP and CRM applications.",7827.0
MICROSOFT CORP,MSFT,2025,Intelligent Cloud,Enterprise and partner services,"Enterprise and partner services include Enterprise Support Services, Industry Solutions, Nuance professional services, Microsoft Partner Network, and Learning Experience.",7760.0
MICROSOFT CORP,MSFT,2025,Productivity and Business Processes,Microsoft 365 Consumer products and cloud services,"Microsoft 365 Consumer products and cloud services include Microsoft 365 Consumer subscriptions, Office licensed on-premises, and other consumer services.",7404.0
MICROSOFT CORP,MSFT,2025,Other,Other,,72.0
